id,text,term,polarity,from,to,category,polarity2
3121,But the staff was so horrible to us.,staff,negative,8,13,,
3121,But the staff was so horrible to us.,,,,,service,negative
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive,57,61,,
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",,,,,food,positive
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",,,,,anecdotes/miscellaneous,negative
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive,4,8,,
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive,55,62,,
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,neutral,141,145,,
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",,,,,food,positive
2534,Where Gabriela personaly greets you and recommends you what to eat.,,,,,service,positive
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",,,,,anecdotes/miscellaneous,positive
2846,"Not only was the food outstanding, but the little 'perks' were great.",food,positive,17,21,,
2846,"Not only was the food outstanding, but the little 'perks' were great.",perks,positive,51,56,,
2846,"Not only was the food outstanding, but the little 'perks' were great.",,,,,food,positive
2846,"Not only was the food outstanding, but the little 'perks' were great.",,,,,service,positive
1571,It is very overpriced and not very tasty.,,,,,food,negative
1571,It is very overpriced and not very tasty.,,,,,price,negative
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive,27,62,,
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive,76,83,,
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,neutral,152,157,,
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral,113,117,,
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,,,,,food,positive
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,,,,,service,positive
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,positive,4,10,,
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",,,,,food,positive
2391,Nevertheless the food itself is pretty good.,food,positive,17,21,,
2391,Nevertheless the food itself is pretty good.,,,,,food,positive
986,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",songs,neutral,71,76,,
986,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",,,,,ambience,neutral
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative,41,46,,
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,negative,18,28,,
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,negative,126,131,,
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,neutral,73,79,,
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative,57,68,,
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral,170,175,,
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,neutral,86,92,,
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",,,,,food,negative
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral,82,88,,
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,neutral,32,37,,
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",,,,,service,conflict
2200,The design and atmosphere is just as good.,design,positive,4,10,,
2200,The design and atmosphere is just as good.,atmosphere,positive,15,25,,
2200,The design and atmosphere is just as good.,,,,,ambience,positive
3195,He has visited Thailand and is quite expert on the cuisine.,cuisine,positive,51,58,,
3195,He has visited Thailand and is quite expert on the cuisine.,,,,,food,positive
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,,,,,anecdotes/miscellaneous,positive
3359,The pizza is the best if you like thin crusted pizza.,pizza,positive,4,9,,
3359,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral,34,52,,
3359,The pizza is the best if you like thin crusted pizza.,,,,,food,positive
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,,,,,anecdotes/miscellaneous,positive
1829,"He can't help, they're bought up so fast.",,,,,anecdotes/miscellaneous,neutral
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",,,,,ambience,negative
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.",,,,,anecdotes/miscellaneous,neutral
2559,Obviously run by folks who know a pie.,,,,,service,positive
716,We were very disappointed.,,,,,anecdotes/miscellaneous,negative
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,,,,,anecdotes/miscellaneous,positive
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,,,,,price,positive
385,I really liked this place.,,,,,anecdotes/miscellaneous,positive
1350,I will be going back very soon.,,,,,anecdotes/miscellaneous,positive
3534,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,positive,28,47,,
3534,"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative,72,77,,
3534,"All the money went into the interior decoration, none of it went to the chefs.",,,,,ambience,positive
3534,"All the money went into the interior decoration, none of it went to the chefs.",,,,,food,negative
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,4,9,,
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,,,,,ambience,negative
565,"I asked for seltzer with lime, no ice.",seltzer with lime,neutral,12,29,,
565,"I asked for seltzer with lime, no ice.",,,,,food,neutral
387,It was pretty inexpensive too.,,,,,price,positive
1314,Will not be back.,,,,,anecdotes/miscellaneous,negative
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive,77,84,,
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive,91,122,,
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",,,,,food,positive
2227,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral,74,80,,
2227,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive,20,36,,
2227,My suggestion is to eat family style because you'll want to try the other dishes.,,,,,food,neutral
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive,24,28,,
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,positive,34,39,,
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,62,69,,
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",,,,,service,positive
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",,,,,ambience,positive
1210,This isn't a value joint.,,,,,price,negative
2191,Faan's got a great concept but a little rough on the delivery.,delivery,negative,53,61,,
2191,Faan's got a great concept but a little rough on the delivery.,,,,,anecdotes/miscellaneous,positive
2191,Faan's got a great concept but a little rough on the delivery.,,,,,service,negative
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,20,24,,
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive,38,48,,
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,66,73,,
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",,,,,food,positive
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",,,,,service,positive
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",,,,,ambience,positive
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,6,10,,
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive,25,31,,
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",,,,,food,positive
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",,,,,price,positive
500,Look foward to trying the Ruben upon returning.,,,,,anecdotes/miscellaneous,positive
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,,,,,anecdotes/miscellaneous,neutral
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,,,,,anecdotes/miscellaneous,neutral
388,this little place has a cute interior decor and affordable city prices.,interior deco,positive,29,42,,
388,this little place has a cute interior decor and affordable city prices.,prices,positive,64,70,,
388,this little place has a cute interior decor and affordable city prices.,,,,,ambience,positive
388,this little place has a cute interior decor and affordable city prices.,,,,,price,positive
3070,You'll adore it.,,,,,anecdotes/miscellaneous,positive
3373,Two words: Free wine.,wine,positive,16,20,,
3373,Two words: Free wine.,,,,,price,positive
425,The price is reasonable although the service is poor.,price,positive,4,9,,
425,The price is reasonable although the service is poor.,service,negative,37,44,,
425,The price is reasonable although the service is poor.,,,,,service,negative
425,The price is reasonable although the service is poor.,,,,,price,positive
3192,"The quantity is also very good, you will come out satisfied.",quantity,positive,4,12,,
3192,"The quantity is also very good, you will come out satisfied.",,,,,food,positive
1098,I have been to Roth's twice and both times were very disappointing.,,,,,anecdotes/miscellaneous,negative
2173,Worth visiting the 1st Ave spot because it is the original store.,,,,,anecdotes/miscellaneous,positive
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral,118,123,,
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral,146,155,,
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",,,,,anecdotes/miscellaneous,neutral
263,"Raga's is a romantic, cozy restaurant.",,,,,ambience,positive
2384,The fried rice is amazing here.,fried rice,positive,4,14,,
2384,The fried rice is amazing here.,,,,,food,positive
